cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",15.16,15.52,34.73,false,"WHAT_Qn","Easy","EEM","easy"
"cntrQ_245",27.44,24.93,10.2,true,"WHAT_Qn","Easy","EEH","easy"
"cntrQ_246",46.74,43.35,18.81,true,"WHAT_Qn","Easy","EME","easy"
"cntrQ_247",38.2,34.69,52.52,false,"WHAT_Qn","Easy","EMM","easy"
"cntrQ_248",78.8,77.48,29.47,false,"WHAT_Qn","Easy","EMH","easy"
"cntrQ_249",21.53,34.69,21.39,false,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_250",56.12,56.13,6.47,false,"WHAT_Qn","Easy","EHM","easy"
"cntrQ_251",39.59,27.34,12.07,true,"WHAT_Qn","Easy","EHH","easy"
"cntrQ_252",34.31,42.6,6.36,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_253",15.46,15.52,27.54,true,"WHAT_Qn","Easy","EEM","medium"
"cntrQ_254",21.73,24.93,11.95,false,"WHAT_Qn","Easy","EEH","medium"
"cntrQ_255",41.62,43.35,25.41,true,"WHAT_Qn","Easy","EME","medium"
"cntrQ_256",36.73,34.69,18.99,true,"WHAT_Qn","Easy","EMM","medium"
"cntrQ_257",76.5,77.48,21.05,true,"WHAT_Qn","Easy","EMH","medium"
"cntrQ_258",26.05,34.69,17.91,true,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_259",56.35,56.13,15.85,true,"WHAT_Qn","Easy","EHM","medium"
"cntrQ_260",24.71,27.34,20.74,false,"WHAT_Qn","Easy","EHH","medium"
"cntrQ_261",39.99,42.6,29.09,true,"WHAT_Qn","Easy","EEE","medium"
"cntrQ_262",18.04,15.52,34.73,true,"WHAT_Qn","Easy","EEM","hard"
"cntrQ_263",27.81,24.93,26.53,true,"WHAT_Qn","Easy","EEH","hard"
"cntrQ_264",43.46,43.35,15.84,false,"WHAT_Qn","Easy","EME","hard"
"cntrQ_265",27.68,34.69,20.77,false,"WHAT_Qn","Easy","EMM","hard"
"cntrQ_266",75.14,77.48,21.31,true,"WHAT_Qn","Easy","EMH","hard"
"cntrQ_267",25.26,34.69,20.32,false,"WHAT_Qn","Easy","EHE","hard"
"cntrQ_268",53.24,56.13,16.5,true,"WHAT_Qn","Easy","EHM","hard"
"cntrQ_269",26.86,27.34,18.88,true,"WHAT_Qn","Easy","EHH","hard"
"cntrQ_270",44.65,42.6,24.84,false,"WHAT_Qn","Easy","EEE","hard"
"cntrQ_271",34.04,84.16,34.04,true,"WHAT_Ql","Easy","EEM","easy"
"cntrQ_272",8.13,18.69,23.98,true,"WHAT_Ql","Easy","EEH","easy"
"cntrQ_273",4.52,15.02,22.42,false,"WHAT_Ql","Easy","MEE","easy"
"cntrQ_274",16.75,54.18,23.09,true,"WHAT_Ql","Easy","MEM","easy"
"cntrQ_275",4.73,15.47,16.87,false,"WHAT_Ql","Easy","MEH","easy"
"cntrQ_276",12.74,33.52,40.39,false,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_277",0,3.7,52.54,true,"WHAT_Ql","Easy","HEM","easy"
"cntrQ_278",13.27,51.6,23.55,false,"WHAT_Ql","Easy","HEH","easy"
"cntrQ_279",22.42,78.73,22.42,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_280",21.74,84.16,22.69,true,"WHAT_Ql","Easy","EEM","medium"
"cntrQ_281",5.69,18.69,38.61,false,"WHAT_Ql","Easy","EEH","medium"
"cntrQ_282",2.88,15.02,19.95,true,"WHAT_Ql","Easy","MEE","medium"
"cntrQ_283",16.57,54.18,38.54,false,"WHAT_Ql","Easy","MEM","medium"
"cntrQ_284",4.6,15.47,22.12,true,"WHAT_Ql","Easy","MEH","medium"
"cntrQ_285",5.49,33.52,20.19,false,"WHAT_Ql","Easy","HEE","medium"
"cntrQ_286",0,3.7,29.62,true,"WHAT_Ql","Easy","HEM","medium"
"cntrQ_287",14.13,51.6,48.6,true,"WHAT_Ql","Easy","HEH","medium"
"cntrQ_288",21.49,78.73,21.49,true,"WHAT_Ql","Easy","EEE","medium"
"cntrQ_289",7.32,84.16,13.71,true,"WHAT_Ql","Easy","EEM","hard"
"cntrQ_290",0,18.69,20.73,true,"WHAT_Ql","Easy","EEH","hard"
"cntrQ_291",9.05,15.02,25.51,false,"WHAT_Ql","Easy","MEE","hard"
"cntrQ_292",19.73,54.18,33.33,false,"WHAT_Ql","Easy","MEM","hard"
"cntrQ_293",4.47,15.47,26.98,true,"WHAT_Ql","Easy","MEH","hard"
